name,city,country
European Youth Cup - Velika Tarnovo (BUL) 2006,Velika Tarnovo,BUL
European Youth Cup - Annecy (FRA) 2006,Annecy,FRA
European Youth Cup - Kranj (SLO) 2006,Kranj,SLO
IFSC Asian Championships - Guangzhou (CHN) 2007,Guangzhou,CHN
Int. Event - Open Youth Marseille (FRA) 2006,Youth Marseille,FRA
Promotional Event - Melloblocco (ITA) 2006,,ITA
Youth Color Climbing Festival Imst (AUT) 2006,Imst,AUT
Int. Event (L+B+S) Rock Junior - Arco (ITA) 2006,Arco,ITA
Int. Youth Event - Citta di Ravenna (ITA) 2006,Ravenna,ITA
Spiderkids - Kärnten (AUT) 2006,Kärnten,AUT
Int. Youth Event - Petzen Trophy Kärnten (AUT) 2006,Kärnten,AUT
Int. Event (L) - Serre Chevalier (FRA) 2006,Serre Chevalier,FRA
Promotional Event (L+S) - Friedrichshafen 2006,Friedrichshafen,
International Event (B) - L'Argentiere la Bessee (FRA) 2006,L'Argentiere la Bessee,FRA
Int. Event - Aggtelek Cup  (HUN ) 2006,Aggtelek Cup,HUN
Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2006,Arco,ITA
International Event (B) - La Colmiane (FRA) 2006,La Colmiane,FRA
International Event (L) - Dima-Bilbao (ESP) 2006,Dima-Bilbao,ESP
Int. Youth Event - 2. BELGRADE OPEN TROFEY,,
IFSC European Boulder Championship  - Birmingham (GBR) 2007,Birmingham,GBR
IFSC Climbing World Youth Championship - Ibarra (ECU) 2007,Ibarra,ECU
Asian Indoor Games - Macau,,
Youth Event - Marseille (FRA) 2007,Marseille,FRA
Promotional Event - Melloblocco (ITA) 2007,,ITA
Youth Color Climbing Festival - Imst (AUT) 2007,Imst,AUT
International Event (B) Ukrainian Verticals - Kiev (UKR),Kiev,UKR
Youth Event Rock Junior - Arco (ITA) 2007,Arco,ITA
Youth Event - Ravenna (ITA) 2007,Ravenna,ITA
International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,Interlaken,SUI
Int. Youth Event - Petzen Trophy Kärnten (AUT) 2007,Kärnten,AUT
Int. Event (L) - Serre Chevalier (FRA) 2007,Serre Chevalier,FRA
